pais_nom,anio,vacantes,beta_vacantes,p_formal,beta_empleo,beta_formal,beta_informal,brecha_total,brecha_formal
Costa Rica,2021,,,0.5487916406841348,0.27126271580846345,0.3205392624539432,0.2142441703321718,,
Costa Rica,2022,40713.0,0.4598651942441746,0.5657105615185037,0.27013944252118177,0.3172331298983097,0.21188286089176764,0.18972575172299283,0.1426320643458649
Costa Rica,2023,65491.0,0.4514843531416322,0.6083664683458891,0.27617281244260455,0.3163834949350484,0.21649671472619605,0.17531154069902766,0.1351008582065838
Costa Rica,2024,72824.0,0.4443348643094409,0.6098002819420737,0.283038200587516,0.3211257975927859,0.22615240517856441,0.16129666372192492,0.12320906671665499
Costa Rica,2025,46330.0,0.4463573970070076,0.6270591077385409,0.28268771556460714,0.3282772478504608,0.20947654241797556,0.16366968144240046,0.1180801491565468
Guatemala,2023,66536.0,0.4219046368506379,0.1781867063621543,0.20936387653958435,0.32670576611216057,0.18391976019768377,0.21254076031105354,0.09519887073847733
Honduras,2021,,,0.20551362888386407,0.22770661857040542,0.29688725599889676,0.2101432345975279,,
Honduras,2022,28947.0,0.4518931633530863,0.2163698685650733,0.2313631272529516,0.3018437957514788,0.21220703229353333,0.22053003610013472,0.15004936760160753
Honduras,2023,45006.0,0.4579898993742197,0.22913507788574825,0.2372238690355549,0.32646650208444145,0.21113643200463533,0.2207660303386648,0.13152339728977824
Honduras,2024,48394.0,0.4557339664972867,0.23427270733257421,0.23902259607548923,0.31734441353318377,0.2154389306177451,0.21671137042179747,0.13838955296410294
Honduras,2025,41899.0,0.4589188414692777,0.22301496511248559,0.2368903903755391,0.32514818598139344,0.21189601336650962,0.2220284510937386,0.13377065548788425
México,2022,278566.0,0.4408330624952875,0.442353683553646,0.2810028645440138,0.3441176946973426,0.23148787045578054,0.15983019795127368,0.09671536779794487
México,2023,424367.0,0.4374431380680624,0.44629627116166826,0.2806489225417656,0.342647154685692,0.23122350409958783,0.1567942155262968,0.09479598338237039
México,2024,499139.0,0.4265157168865222,0.4523588310628659,0.28343747174212713,0.34506214419865594,0.23300145256158936,0.14307824514439504,0.08145357268786624
México,2025,313178.0,0.4455725187330434,0.44829054942589663,0.28549431552123644,0.34673244120748614,0.2361276388023472,0.16007820321180694,0.09884007752555724
Rep. Dominicana,2021,,,0.40444247085366564,0.25983657820620265,0.3197445276753743,0.2195180119906161,,
Rep. Dominicana,2024,71378.0,0.4304663472163199,0.4340779749411071,0.2634861722074698,0.32822499723730847,0.2140630294481559,0.1669801750088501,0.10224134997901141
