pais_nom,anio,tramo,share_vacantes_fijo,share_empleo,indice_relativo
Honduras,2024,0.30–0.45,0.2078641134516198,0.13934550549657707,1.491717387732508
Honduras,2024,0.45–0.60,0.37289803482119194,0.14940022368310416,2.4959670449500364
Honduras,2024,β≥0.60,0.18837963922408993,0.026654680985242356,7.067413011935438
Honduras,2025,β<0.15,0.06615863899196302,0.3200580119714413,0.20670827324224691
Honduras,2025,0.15–0.30,0.15063229647564477,0.3705380319297349,0.4065231730496403
Honduras,2025,0.30–0.45,0.1910095388088922,0.14433375796215542,1.3233878304407156
Honduras,2025,0.45–0.60,0.3776935323574985,0.13296316062653002,2.8405878032515544
Honduras,2025,β≥0.60,0.21450599336600157,0.032107037510138374,6.680964984647601
México,2022,β<0.15,0.08333069577201964,0.30210349948226484,0.2758349238417598
México,2022,0.15–0.30,0.1886790757853851,0.24844588650809907,0.759437310221815
México,2022,0.30–0.45,0.20907417535792883,0.22459737468622384,0.9308843242269333
México,2022,0.45–0.60,0.32497662661243426,0.19078503822697107,1.7033653667632973
México,2022,β≥0.60,0.1939394264722321,0.03406820109644117,5.692681745162394
México,2023,β<0.15,0.09628181984578804,0.3027698878431737,0.3180032880140951
México,2023,0.15–0.30,0.18881022420614468,0.24594110998903249,0.7677050177360121
México,2023,0.30–0.45,0.2147160380499003,0.22691217888506315,0.946251713349681
México,2023,0.45–0.60,0.32591511170197845,0.19108735168619165,1.70558181285177
México,2023,β≥0.60,0.17427680619618852,0.03328947159653898,5.235192925510648
México,2024,β<0.15,0.10862385445852443,0.2961990439914918,0.3667258779594326
México,2024,0.15–0.30,0.18613325304302636,0.2431599474474771,0.7654766132207337
México,2024,0.30–0.45,0.21689666200556018,0.23200934647416996,0.9348617428639139
México,2024,0.45–0.60,0.3168764502545356,0.1956360362794446,1.6197243426150405
México,2024,β≥0.60,0.17146978023835346,0.032995625807416565,5.196742781578384
México,2025,β<0.15,0.11141514194473066,0.2903848119811893,0.38368102375804686
México,2025,0.15–0.30,0.16244890234707485,0.24346537341389807,0.667236166150441
México,2025,0.30–0.45,0.2130874469392171,0.23565406740580921,0.9042383578818899
México,2025,0.45–0.60,0.3513735024396942,0.19762139386969893,1.778013481027116
México,2025,β≥0.60,0.16167500632928308,0.032874353329404436,4.91796765427696
Rep. Dominicana,2024,β<0.15,0.1267261130947193,0.300773406560914,0.42133416828210885
Rep. Dominicana,2024,0.15–0.30,0.1539910971774488,0.29007724915913924,0.5308623741566433
Rep. Dominicana,2024,0.30–0.45,0.20214337314585185,0.2217146433281553,0.9117276608864466
Rep. Dominicana,2024,0.45–0.60,0.31596701406000877,0.1351013117699765,2.3387412743850646
Rep. Dominicana,2024,β≥0.60,0.20117240252197127,0.05233338918181495,3.844054544662962
