anio,anuncios,largo_medio,indice
2022,426237,1463.7840379882552,1.0
2023,671068,1350.4528259431236,0.922576548791386
2024,769648,1365.7766680352577,0.9330451983287825
2025,493268,1768.0800903362879,1.2078831606650393
2026,225951,2023.3172236458347,1.3822511867437572
